BATUBARA,BIOMASSA,BEBAN,APH A_IN_FLUE_GAS_O2,APH_B_IN_FLUE_GAS_O2_1,SO2
6911258,0,375.3946033,4.371530055,4.454789601,57.58041667
5928532,0,334.4079055,5.15591257,5.32082704,40.225
7161871,0,438.1094207,3.749099812,4.488513406,34.4325
8457585,0,501.1507866,2.994880733,3.728155002,8.08125
7962426,0,486.992015,2.858527995,3.595806877,10.84458333
7938311,0,486.8196162,3.024323416,2.947407039,9.6075
8070752,0,489.6464172,3.062051372,3.0416717,20.19333333
7138345,0,455.1487519,3.411197643,3.204868052,6.987083333
7315618,0,461.5959724,3.626775888,3.768839216,5.38125
7982849,0,500.0501287,3.287047968,3.791064793,13.70083333
7454357,0,457.1608908,4.115567317,4.377912467,149.17
7507973,0,460.2364163,3.92368085,4.204405486,483.0779167
7800089,0,445.8662561,4.198859348,4.485934276,305.77125
5974510,0,299.1046047,6.742718518,6.759704176,80.47791667
2480787,0,109.1643868,13.27515339,12.97240941,231.2766667
5626790,0,260.1845897,7.350144198,7.513851089,6.987083333
6349264,0,314.7943127,6.32662886,6.362039226,66.34
6226788,0,372.7559043,5.177363107,4.986874321,140.55
6912937,0,437.2381521,3.217192618,3.889250624,392.33
7203602,0,469.845178,3.12663478,3.422756938,492.29
4946981,0,200.7506643,9.32099708,8.856705903,68.35
4928323,0,185.8795286,9.541668167,9.037835731,0
5035977,0,286.8543224,7.036857275,6.826403285,0
6067064,0,365.8823958,5.467128994,5.561170361,89.77
6583975,0,431.4032747,4.462092958,4.299018465,80.46
6533474,0,302.9291934,6.693206978,6.391252571,259.73
6411174,0,289.6535261,7.029261174,6.656532971,190.82
6745960,0,385.3544735,5.068798139,4.415463201,231.29
6952550,0,414.7034473,4.528161589,3.835567896,201.94
7066652,0,486.5924917,3.290038918,3.225529062,12.49
7237063,0,487.1948294,3.47229463,3.053756487,26.16
7593731,0,488.5597981,3.656849507,3.260649734,105.65
7304780,0,445.6375274,4.419156095,3.937378501,96.56
7605636,0,494.5808162,3.668297756,3.33383832,114.96
7710682,0,490.0493149,3.982861596,3.539536106,141.97
6821231,28920,433.2089856,4.487734547,4.09527511,251.6
6531148,22720,434.7099325,4.311577359,3.889590294,275.36
6586614,0,449.0260913,4.163512187,3.889617407,262.83
7401971,0,473.1044731,3.822082416,3.493679883,98.16
6823557,28790,481.6093585,3.944927606,3.590050296,0
6905520,0,478.8395174,3.764044234,3.480241132,0
7155949,47270,469.1640413,3.915787748,3.28020895,0
6940923,0,438.1374328,4.234837085,3.561644648,120.02
5632508,0,332.3226366,5.383807653,4.689594537,262.12
19052,0,0.135197702,20.5593203,20.07033639,0
4068909,0,232.2425042,9.82613401,9.402558677,0
6403137,0,419.1641562,3.553966996,3.810602362,79.69
6782914,0,438.8931479,3.567999864,3.728028843,52.36
6319073,0,388.8836356,4.120036828,3.765320479,64.18
6236180,0,380.0505503,4.513241896,3.990613564,37.16
7473129,0,474.0412912,3.385445904,3.955884384,62.25
7622341,0,500.2570707,2.905929101,3.287478365,137.37
7385317,35290,483.2176073,3.112705091,3.375004024,173.14
7416129,25940,459.7850727,3.319687884,3.539489615,383.77
7437515,47630,498.9781517,2.891250496,3.573540905,532.12
7306095,17230,490.1361229,3.212869267,3.722767169,549.47
6555746,33790,437.0342208,3.25635822,3.462229653,453.68
6873709,26310,486.608646,2.893215084,3.235179986,539.89
6336403,0,415.7129228,3.885033504,3.91682894,533.48
7624866,0,488.8366236,3.647448091,2.819777789,281.96
7480965,29910,465.8587676,3.844661715,3.063740706,282.19
7433409,17570,429.2010551,4.017746256,3.351247806,432.62
6610168,25610,384.7687271,4.233820037,3.559165767,458.6
6497755,17030,379.679606,4.27695946,4.162328285,537.19
7667925,26100,461.4014832,4.301087074,3.144554429,286.14
7616616,84290,496.4395436,4.236634392,2.898954774,149.38
7824825,17740,508.9431102,4.23450953,2.964668368,279.31
7275823,32660,467.5023183,4.855725573,3.706632704,275.75
7971156,78320,494.9341532,4.168015964,3.053102413,463.87
